,class,message,Unnamed: 2,Unnamed: 3,Unnamed: 4
42,spam,07732584351 - Rodger Burns - MSG = We tried to call you re your reply to our sms for a free nokia mobile + free camcorder. Please call now 08000930705 for delivery tomorrow,,,
43,valid,WHO ARE YOU SEEING?,,,
44,valid,Great! I hope you like your man well endowed. I am  &lt;#&gt;  inches...,,,
45,valid,No calls..messages..missed calls,,,
46,valid,Didn't you get hep b immunisation in nigeria.,,,
47,valid,"Fair enough, anything going on?",,,
48,valid,"Yeah hopefully, if tyler can't do it I could maybe ask around a bit",,,
49,valid,U don't know how stubborn I am. I didn't even want to go to the hospital. I kept telling Mark I'm not a weak sucker. Hospitals are for weak suckers.,,,
50,valid,What you thinked about me. First time you saw me in class.,,,
51,valid,"A gram usually runs like  &lt;#&gt; , a half eighth is smarter though and gets you almost a whole second gram for  &lt;#&gt;",,,
52,valid,K fyi x has a ride early tomorrow morning but he's crashing at our place tonight,,,
53,valid,"Wow. I never realized that you were so embarassed by your accomodations. I thought you liked it, since i was doing the best i could and you always seemed so happy about \the cave\"". I'm sorry I didn't and don't have more to give. I'm sorry i offered. I'm sorry your room was so embarassing.""",,,
54,spam,SMS. ac Sptv: The New Jersey Devils and the Detroit Red Wings play Ice Hockey. Correct or Incorrect? End? Reply END SPTV,,,
55,valid,Do you know what Mallika Sherawat did yesterday? Find out now @  &lt;URL&gt;,,,
56,spam,"Congrats! 1 year special cinema pass for 2 is yours. call 09061209465 now! C Suprman V, Matrix3, StarWars3, etc all 4 FREE! bx420-ip4-5we. 150pm. Dont miss out! ",,,
57,valid,"Sorry, I'll call later in meeting.",,,
58,valid,Tell where you reached,,,
59,valid,Yes..gauti and sehwag out of odi series.,,,
60,valid,Your gonna have to pick up a $1 burger for yourself on your way home. I can't even move. Pain is killing me.,,,
61,valid,Ha ha ha good joke. Girls are situation seekers.,,,
62,valid,Its a part of checking IQ,,,
63,valid,"Sorry my roommates took forever, it ok if I come by now?",,,
64,valid,Ok lar i double check wif da hair dresser already he said wun cut v short. He said will cut until i look nice.,,,
65,spam,"As a valued customer, I am pleased to advise you that following recent review of your Mob No. you are awarded with a å£1500 Bonus Prize, call 09066364589",,,
66,valid,"Today is \song dedicated day..\"" Which song will u dedicate for me? Send this to all ur valuable frnds but first rply me...""",,,
67,spam,"Urgent UR awarded a complimentary trip to EuroDisinc Trav, Aco&Entry41 Or å£1000. To claim txt DIS to 87121 18+6*å£1.50(moreFrmMob. ShrAcomOrSglSuplt)10, LS1 3AJ",,,
68,spam,"Did you hear about the new \Divorce Barbie\""? It comes with all of Ken's stuff!""",,,
69,valid,I plane to give on this month end.,,,
70,valid,Wah lucky man... Then can save money... Hee...,,,
71,valid,Finished class where are you.,,,
72,valid,HI BABE IM AT HOME NOW WANNA DO SOMETHING? XX,,,
73,valid,K..k:)where are you?how did you performed?,,,
74,valid,U can call me now...,,,
75,valid,I am waiting machan. Call me once you free.,,,
76,valid,Thats cool. i am a gentleman and will treat you with dignity and respect.,,,
77,valid,I like you peoples very much:) but am very shy pa.,,,
78,valid,Does not operate after  &lt;#&gt;  or what,,,
79,valid,Its not the same here. Still looking for a job. How much do Ta's earn there.,,,
80,valid,"Sorry, I'll call later",,,
81,valid,K. Did you call me just now ah? ,,,
82,valid,Ok i am on the way to home hi hi,,,
83,valid,You will be in the place of that man,,,
84,valid,Yup next stop.,,,
85,valid,"I call you later, don't have network. If urgnt, sms me.",,,
86,valid,For real when u getting on yo? I only need 2 more tickets and one more jacket and I'm done. I already used all my multis.,,,
87,valid,Yes I started to send requests to make it but pain came back so I'm back in bed. Double coins at the factory too. I gotta cash in all my nitros.,,,
88,valid,I'm really not up to it still tonight babe,,,
89,valid,"Ela kano.,il download, come wen ur free..",,,
90,valid,Yeah do! DonÛ÷t stand to close tho- youÛ÷ll catch something!,,,
91,valid,Sorry to be a pain. Is it ok if we meet another night? I spent late afternoon in casualty and that means i haven't done any of y stuff42moro and that includes all my time sheets and that. Sorry. ,,,
92,valid,Smile in Pleasure Smile in Pain Smile when trouble pours like Rain Smile when sum1 Hurts U Smile becoz SOMEONE still Loves to see u Smiling!!,,,
93,spam,Please call our customer service representative on 0800 169 6031 between 10am-9pm as you have WON a guaranteed å£1000 cash or å£5000 prize!,,,
94,valid,Havent planning to buy later. I check already lido only got 530 show in e afternoon. U finish work already?,,,
95,spam,"Your free ringtone is waiting to be collected. Simply text the password \MIX\"" to 85069 to verify. Get Usher and Britney. FML", PO Box 5249," MK17 92H. 450Ppw 16""",
96,valid,Watching telugu movie..wat abt u?,,,
97,valid,i see. When we finish we have loads of loans to pay,,,
98,valid,"Hi. Wk been ok - on hols now! Yes on for a bit of a run. Forgot that i have hairdressers appointment at four so need to get home n shower beforehand. Does that cause prob for u?\""ham""",,,
99,valid,Please don't text me anymore. I have nothing else to say.,,,
100,valid,Okay name ur price as long as its legal! Wen can I pick them up? Y u ave x ams xx,,,
101,valid,I'm still looking for a car to buy. And have not gone 4the driving test yet.,,,
102,valid,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,,,
103,valid,"wow. You're right! I didn't mean to do that. I guess once i gave up on boston men and changed my search location to nyc, something changed. Cuz on my signin page it still says boston.",,,
104,valid,Umma my life and vava umma love you lot dear,,,
105,valid,Thanks a lot for your wishes on my birthday. Thanks you for making my birthday truly memorable.,,,
106,valid,"Aight, I'll hit you up when I get some cash",,,
107,valid,How would my ip address test that considering my computer isn't a minecraft server,,,
108,valid,I know! Grumpy old people. My mom was like you better not be lying. Then again I am always the one to play jokes...,,,
109,valid,Dont worry. I guess he's busy.,,,
110,valid,What is the plural of the noun research?,,,
111,valid,Going for dinner.msg you after.,,,
112,valid,I'm ok wif it cos i like 2 try new things. But i scared u dun like mah. Cos u said not too loud.,,,
113,spam,GENT! We are trying to contact you. Last weekends draw shows that you won a å£1000 prize GUARANTEED. Call 09064012160. Claim Code K52. Valid 12hrs only. 150ppm,,,
114,valid,"Wa, ur openin sentence very formal... Anyway, i'm fine too, juz tt i'm eatin too much n puttin on weight...Haha... So anythin special happened?",,,
115,valid,"As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there.",,,
116,spam,You are a winner U have been specially selected 2 receive å£1000 or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810910p/min (18+) ,,,
117,valid,Goodo! Yes we must speak friday - egg-potato ratio for tortilla needed! ,,,
118,valid,Hmm...my uncle just informed me that he's paying the school directly. So pls buy food.,,,
119,spam,PRIVATE! Your 2004 Account Statement for 07742676969 shows 786 unredeemed Bonus Points. To claim call 08719180248 Identifier Code: 45239 Expires,,,
120,spam,"URGENT! Your Mobile No. was awarded å£2000 Bonus Caller Prize on 5/9/03 This is our final try to contact U! Call from Landline 09064019788 BOX42WR29C, 150PPM",,,
121,valid,here is my new address -apples&pairs&all that malarky,,,
122,spam,Todays Voda numbers ending 7548 are selected to receive a $350 award. If you have a match please call 08712300220 quoting claim code 4041 standard rates app,,,
123,valid,I am going to sao mu today. Will be done only at 12 ,,,
124,valid,ÌÏ predict wat time Ì_'ll finish buying?,,,
125,valid,"Good stuff, will do.",,,
126,valid,"Just so that you know,yetunde hasn't sent money yet. I just sent her a text not to bother sending. So its over, you dont have to involve yourself in anything. I shouldn't have imposed anything on you in the first place so for that, i apologise.",,,
127,valid,Are you there in room.,,,
128,valid,HEY GIRL. HOW R U? HOPE U R WELL ME AN DEL R BAK! AGAIN LONG TIME NO C! GIVE ME A CALL SUM TIME FROM LUCYxx,,,
129,valid,K..k:)how much does it cost?,,,
130,valid,I'm home.,,,
131,valid,"Dear, will call Tmorrow.pls accomodate.",,,
132,valid,First answer my question.,,,
133,spam,Sunshine Quiz Wkly Q! Win a top Sony DVD player if u know which country the Algarve is in? Txt ansr to 82277. å£1.50 SP:Tyrone,,,
134,spam,Want 2 get laid tonight? Want real Dogging locations sent direct 2 ur mob? Join the UK's largest Dogging Network bt Txting GRAVEL to 69888! Nt. ec2a. 31p.msg@150p,,,
135,valid,I only haf msn. It's yijue@hotmail.com,,,
136,valid,He is there. You call and meet him,,,
137,valid,No no. I will check all rooms befor activities,,,
138,spam,You'll not rcv any more msgs from the chat svc. For FREE Hardcore services text GO to: 69988 If u get nothing u must Age Verify with yr network & try again,,,
139,valid,Got c... I lazy to type... I forgot Ì_ in lect... I saw a pouch but like not v nice...,,,
140,valid,"K, text me when you're on the way",,,
141,valid,"Sir, Waiting for your mail.",,,
142,valid,"A swt thought: \Nver get tired of doing little things 4 lovable persons..\"" Coz..somtimes those little things occupy d biggest part in their Hearts.. Gud ni8""",,,
143,valid,I know you are. Can you pls open the back?,,,
144,valid,Yes see ya not on the dot,,,
145,valid,Whats the staff name who is taking class for us?,,,
146,spam,"FreeMsg Why haven't you replied to my text? I'm Randy, sexy, female and live local. Luv to hear from u. Netcollex Ltd 08700621170150p per msg reply Stop to end",,,
147,valid,Ummma.will call after check in.our life will begin from qatar so pls pray very hard.,,,
148,valid,K..i deleted my contact that why?,,,
149,valid,Sindu got job in birla soft ..,,,
150,valid,The wine is flowing and i'm i have nevering..,,,
151,valid,Yup i thk cine is better cos no need 2 go down 2 plaza mah.,,,
152,valid,Ok... Ur typical reply...,,,
153,valid,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,,,
154,valid,"You are everywhere dirt, on the floor, the windows, even on my shirt. And sometimes when i open my mouth, you are all that comes flowing out. I dream of my world without you, then half my chores are out too. A time of joy for me, lots of tv shows i.ll see. But i guess like all things you just must exist, like rain, hail and mist, and when my time here is done, you and i become one.",,,
155,valid,Aaooooright are you at work?,,,
156,valid,I'm leaving my house now...,,,
157,valid,"Hello, my love. What are you doing? Did you get to that interview today? Are you you happy? Are you being a good boy? Do you think of me?Are you missing me ?",,,
158,spam,Customer service annoncement. You have a New Years delivery waiting for you. Please call 07046744435 now to arrange delivery,,,
159,spam,You are a winner U have been specially selected 2 receive å£1000 cash or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810810,,,
160,valid,Keep yourself safe for me because I need you and I miss you already and I envy everyone that see's you in real life,,,
161,valid,New car and house for my parents.:)i have only new job in hand:),,,
162,valid,I'm so in love with you. I'm excited each day i spend with you. You make me so happy.,,,
163,spam,-PLS STOP bootydelious (32/F) is inviting you to be her friend. Reply YES-434 or NO-434 See her: www.SMS.ac/u/bootydelious STOP? Send STOP FRND to 62468,,,
164,spam,"BangBabes Ur order is on the way. U SHOULD receive a Service Msg 2 download UR content. If U do not, GoTo wap. bangb. tv on UR mobile internet/service menu",,,
165,valid,I place all ur points on e cultures module already.,,,
166,spam,URGENT! We are trying to contact you. Last weekends draw shows that you have won a å£900 prize GUARANTEED. Call 09061701939. Claim code S89. Valid 12hrs only,,,
167,valid,"Hi frnd, which is best way to avoid missunderstding wit our beloved one's?",,,
168,valid,Great escape. I fancy the bridge but needs her lager. See you tomo ,,,
169,valid,Yes :)it completely in out of form:)clark also utter waste.,,,
170,valid,"Sir, I need AXIS BANK account no and bank address.",,,
171,valid,"Hmmm.. Thk sure got time to hop ard... Ya, can go 4 free abt... Muz call u to discuss liao... ",,,
172,valid,What time you coming down later? ,,,
173,valid,"Bloody hell, cant believe you forgot my surname Mr . Ill give u a clue, its spanish and begins with m... ",,,
174,valid,"Well, i'm gonna finish my bath now. Have a good...fine night.",,,
175,valid,Let me know when you've got the money so carlos can make the call,,,
176,valid,U still going to the mall?,,,
177,valid,"Turns out my friends are staying for the whole show and won't be back til ~ &lt;#&gt; , so feel free to go ahead and smoke that $ &lt;#&gt;  worth",,,
178,valid,Text her. If she doesnt reply let me know so i can have her log in,,,
179,valid,Hi! You just spoke to MANEESHA V. We'd like to know if you were satisfied with the experience. Reply Toll Free with Yes or No.,,,
180,valid,You lifted my hopes with the offer of money. I am in need. Especially when the end of the month approaches and it hurts my studying. Anyways have a gr8 weekend,,,
181,valid,Lol no. U can trust me.,,,
182,valid,ok. I am a gentleman and will treat you with dignity and respect.,,,
183,valid,"He will, you guys close?",,,
184,valid,Going on nothing great.bye,,,
185,valid,Hello handsome ! Are you finding that job ? Not being lazy ? Working towards getting back that net for mummy ? Where's my boytoy now ? Does he miss me ?,,,
186,valid,"Haha awesome, be there in a minute",,,
187,spam,Please call our customer service representative on FREEPHONE 0808 145 4742 between 9am-11pm as you have WON a guaranteed å£1000 cash or å£5000 prize!,,,
188,valid,Have you got Xmas radio times. If not i will get it now,,,
189,valid,I jus reached home. I go bathe first. But my sis using net tell u when she finishes k...,,,
190,spam,Are you unique enough? Find out from 30th August. www.areyouunique.co.uk,,,
191,valid,I'm sorry. I've joined the league of people that dont keep in touch. You mean a great deal to me. You have been a friend at all times even at great personal cost. Do have a great week.|,,,
192,valid,Hi :)finally i completed the course:),,,
193,valid,It will stop on itself. I however suggest she stays with someone that will be able to give ors for every stool.,,,
194,valid,How are you doing? Hope you've settled in for the new school year. Just wishin you a gr8 day,,,
195,valid,Gud mrng dear hav a nice day,,,
196,valid,Did u got that persons story,,,
197,valid,is your hamster dead? Hey so tmr i meet you at 1pm orchard mrt? ,,,
198,valid,Hi its Kate how is your evening? I hope i can see you tomorrow for a bit but i have to bloody babyjontet! Txt back if u can. :) xxx,,,
199,valid,"Found it, ENC  &lt;#&gt; , where you at?",,,
200,valid,I sent you  &lt;#&gt;  bucks,,,
201,valid,Hello darlin ive finished college now so txt me when u finish if u can love Kate xxx,,,
202,valid,Your account has been refilled successfully by INR  &lt;DECIMAL&gt; . Your KeralaCircle prepaid account balance is Rs  &lt;DECIMAL&gt; . Your Transaction ID is KR &lt;#&gt; .,,,
203,valid,Goodmorning sleeping ga.,,,
204,valid,U call me alter at 11 ok.,,,
205,valid,ÌÏ say until like dat i dun buy ericsson oso cannot oredi lar...,,,
206,valid,"As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there.",,,
207,valid,"Aight yo, dats straight dogg",,,
208,valid,You please give us connection today itself before  &lt;DECIMAL&gt;  or refund the bill,,,
209,valid,Both :) i shoot big loads so get ready!,,,
210,valid,"What's up bruv, hope you had a great break. Do have a rewarding semester.",,,
211,valid,Home so we can always chat,,,
212,valid,K:)k:)good:)study well.,,,
213,valid,Yup... How Ì_ noe leh...,,,
214,valid,Sounds great! Are you home now?,,,
215,valid,Finally the match heading towards draw as your prediction.,,,
216,valid,Tired. I haven't slept well the past few nights.,,,
217,valid,Easy ah?sen got selected means its good..,,,
218,valid,I have to take exam with march 3,,,
219,valid,Yeah you should. I think you can use your gt atm now to register. Not sure but if there's anyway i can help let me know. But when you do be sure you are ready.,,,
220,valid,Ok no prob. Take ur time.,,,
221,valid,There is os called ubandu which will run without installing in hard disk...you can use that os to copy the important files in system and give it to repair shop..,,,
222,valid,"Sorry, I'll call later",,,
223,valid,U say leh... Of course nothing happen lar. Not say v romantic jus a bit only lor. I thk e nite scenery not so nice leh.,,,
224,spam,"500 New Mobiles from 2004, MUST GO! Txt: NOKIA to No: 89545 & collect yours today!From ONLY å£1 www.4-tc.biz 2optout 087187262701.50gbp/mtmsg18",,,
225,valid,Would really appreciate if you call me. Just need someone to talk to.,,,
226,spam,"Will u meet ur dream partner soon? Is ur career off 2 a flyng start? 2 find out free, txt HORO followed by ur star sign, e. g. HORO ARIES",,,
227,valid,Hey company elama po mudyadhu.,,,
228,valid,"Life is more strict than teacher... Bcoz Teacher teaches lesson &amp; then conducts exam, But Life first conducts Exam &amp; then teaches Lessons. Happy morning. . .",,,
229,valid,Dear good morning now only i am up,,,
230,valid,Get down in gandhipuram and walk to cross cut road. Right side &lt;#&gt; street road and turn at first right.,,,
231,valid,Dear we are going to our rubber place,,,
232,valid,"Sorry battery died, yeah I'm here",,,
233,valid,Yes:)here tv is always available in work place..,,,
234,spam,Text & meet someone sexy today. U can find a date or even flirt its up to U. Join 4 just 10p. REPLY with NAME & AGE eg Sam 25. 18 -msg recd@thirtyeight pence,,,
235,valid,I have printed it oh. So  &lt;#&gt;  come upstairs,,,
236,valid,Or ill be a little closer like at the bus stop on the same street,,,
237,valid,Where are you?when wil you reach here?,,,
238,valid,"New Theory: Argument wins d SITUATION, but loses the PERSON. So dont argue with ur friends just.. . . . kick them &amp; say, I'm always correct.!",,,
239,spam,U 447801259231 have a secret admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09058094597,,,
240,valid,Tomarrow final hearing on my laptop case so i cant.,,,
241,valid,PLEASSSSSSSEEEEEE TEL ME V AVENT DONE SPORTSx,,,
242,valid,"Okay. No no, just shining on. That was meant to be signing, but that sounds better.",,,
243,valid,"Although i told u dat i'm into baig face watches now but i really like e watch u gave cos it's fr u. Thanx 4 everything dat u've done today, i'm touched...",,,
244,valid,U don't remember that old commercial?,,,
245,valid,Too late. I said i have the website. I didn't i have or dont have the slippers,,,
246,valid,I asked you to call him now ok,,,
247,valid,Kallis wont bat in 2nd innings.,,,
248,valid,It didnt work again oh. Ok goodnight then. I.ll fix and have it ready by the time you wake up. You are very dearly missed have a good night sleep.,,,
249,spam,Congratulations ur awarded 500 of CD vouchers or 125gift guaranteed & Free entry 2 100 wkly draw txt MUSIC to 87066 TnCs www.Ldew.com1win150ppmx3age16,,,
250,valid,Ranjith cal drpd Deeraj and deepak 5min hold,,,
251,valid,"Wen ur lovable bcums angry wid u, dnt take it seriously.. Coz being angry is d most childish n true way of showing deep affection, care n luv!.. kettoda manda... Have nice day da.",,,
252,valid,What you doing?how are you?,,,
253,valid,"Ups which is 3days also, and the shipping company that takes 2wks. The other way is usps which takes a week but when it gets to lag you may have to bribe nipost to get your stuff.",,,
254,valid,"I'm back, lemme know when you're ready",,,
255,valid,Don't necessarily expect it to be done before you get back though because I'm just now headin out,,,
256,valid,Mmm so yummy babe ... Nice jolt to the suzy,,,
257,valid,Where are you lover ? I need you ...,,,
258,spam,We tried to contact you re your reply to our offer of a Video Handset? 750 anytime networks mins? UNLIMITED TEXT? Camcorder? Reply or call 08000930705 NOW,,,
259,valid,IÛ÷m parked next to a MINI!!!! When are you coming in today do you think?,,,
260,valid,Yup,,,
261,valid,Anyway i'm going shopping on my own now. Cos my sis not done yet. Dun disturb u liao.,,,
262,valid,MY NO. IN LUTON 0125698789 RING ME IF UR AROUND! H*,,,
263,spam,Hey I am really horny want to chat or see me naked text hot to 69698 text charged at 150pm to unsubscribe text stop 69698,,,
264,valid,Why you Dint come with us.,,,
265,valid,Same. Wana plan a trip sometme then,,,
266,valid,"Not sure yet, still trying to get a hold of him",,,
267,spam,Ur ringtone service has changed! 25 Free credits! Go to club4mobiles.com to choose content now! Stop? txt CLUB STOP to 87070. 150p/wk Club4 PO Box1146 MK45 2WT,,,
268,valid,The evo. I just had to download flash. Jealous?,,,
269,spam,Ringtone Club: Get the UK singles chart on your mobile each week and choose any top quality ringtone! This message is free of charge.,,,
270,valid,"Come to mu, we're sorting out our narcotics situation",,,
271,valid,"Night has ended for another day, morning has come in a special way. May you smile like the sunny rays and leaves your worries at the blue blue bay.",,,
272,spam,HMV BONUS SPECIAL 500 pounds of genuine HMV vouchers to be won. Just answer 4 easy questions. Play Now! Send HMV to 86688 More info:www.100percent-real.com,,,
273,valid,"Usf I guess, might as well take 1 car",,,
274,valid,No objection. My bf not coming.,,,
275,valid,Thanx...,,,
276,valid,Tell rob to mack his gf in the theater,,,
277,valid,"Awesome, I'll see you in a bit",,,
278,valid,Just sent it. So what type of food do you like?,,,
279,valid,All done? All handed in? Celebrations in full swing yet?,,,
280,valid,You got called a tool?,,,
281,valid,\Wen u miss someone, the person is definitely special for u..... But if the person is so special, why to miss them," just Keep-in-touch\"" gdeve.."""
282,valid,Ok. I asked for money how far,,,
283,valid,Okie...,,,
284,valid,"Yeah I think my usual guy's still passed out from last night, if you get ahold of anybody let me know and I'll throw down",,,
285,valid,"K, I might come by tonight then if my class lets out early",,,
286,valid,Ok..,,,
287,valid,hi baby im cruisin with my girl friend what r u up 2? give me a call in and hour at home if thats alright or fone me on this fone now love jenny xxx,,,
288,valid,"My life Means a lot to me, Not because I love my life, But because I love the people in my life, The world calls them friends, I call them my World:-).. Ge:-)..",,,
289,valid,"Dear,shall mail tonite.busy in the street,shall update you tonite.things are looking ok.varunnathu edukkukayee raksha ollu.but a good one in real sense.",,,
290,valid,Hey you told your name to gautham ah?,,,
291,valid,Haf u found him? I feel so stupid da v cam was working.,,,
292,valid,Oops. 4 got that bit.,,,
293,valid,Are you this much buzy,,,
294,valid,I accidentally deleted the message. Resend please.,,,
295,spam,T-Mobile customer you may now claim your FREE CAMERA PHONE upgrade & a pay & go sim card for your loyalty. Call on 0845 021 3680.Offer ends 28thFeb.T&C's apply,,,
296,valid,Unless it's a situation where YOU GO GURL would be more appropriate,,,
297,valid,Hurt me... Tease me... Make me cry... But in the end of my life when i die plz keep one rose on my grave and say STUPID I MISS U.. HAVE A NICE DAY BSLVYL,,,
298,valid,I cant pick the phone right now. Pls send a message,,,
299,valid,Need a coffee run tomo?Can't believe it's that time of week already,,,
300,valid,"Awesome, I remember the last time we got somebody high for the first time with diesel :V",,,
301,valid,"Shit that is really shocking and scary, cant imagine for a second. Def up for night out. Do u think there is somewhere i could crash for night, save on taxi?",,,
302,valid,Oh and by the way you do have more food in your fridge! Want to go out for a meal tonight? ,,,
303,valid,He is a womdarfull actor,,,
304,spam,"SMS. ac Blind Date 4U!: Rodds1 is 21/m from Aberdeen, United Kingdom. Check Him out http://img. sms. ac/W/icmb3cktz8r7!-4 no Blind Dates send HIDE",,,
305,valid,Yup... From what i remb... I think should be can book... ,,,
306,valid,Jos ask if u wana meet up?,,,
307,valid,Lol yes. Our friendship is hanging on a thread cause u won't buy stuff.,,,
308,spam,"TheMob> Check out our newest selection of content, Games, Tones, Gossip, babes and sport, Keep your mobile fit and funky text WAP to 82468",,,
309,valid,Where are the garage keys? They aren't on the bookshelf,,,
310,valid,Today is ACCEPT DAY..U Accept me as? Brother Sister Lover Dear1 Best1 Clos1 Lvblefrnd Jstfrnd Cutefrnd Lifpartnr Belovd Swtheart Bstfrnd No rply means enemy,,,
311,spam,"Think ur smart ? Win å£200 this week in our weekly quiz, text PLAY to 85222 now!T&Cs WinnersClub PO BOX 84, M26 3UZ. 16+. GBP1.50/week",,,
312,valid,He says he'll give me a call when his friend's got the money but that he's definitely buying before the end of the week,,,
313,valid,"Hi the way I was with u 2day, is the normal way&this is the real me. UR unique&I hope I know u 4 the rest of mylife. Hope u find wot was lost.",,,
314,valid,You made my day. Do have a great day too.,,,
315,valid,K.k:)advance happy pongal.,,,
316,valid,"Hmmm... Guess we can go 4 kb n power yoga... Haha, dunno we can tahan power yoga anot... Thk got lo oso, forgot liao...",,,
317,valid,"Not really dude, have no friends i'm afraid :(",,,
318,spam,December only! Had your mobile 11mths+? You are entitled to update to the latest colour camera mobile for Free! Call The Mobile Update Co FREE on 08002986906,,,
319,valid,"Coffee cake, i guess...",,,
320,valid,"Merry Christmas to you too babe, i love ya *kisses*",,,
321,valid,Hey... Why dont we just go watch x men and have lunch... Haha ,,,
322,valid,cud u tell ppl im gona b a bit l8 cos 2 buses hav gon past cos they were full & im still waitin 4 1. Pete x,,,
323,valid,That would be great. We'll be at the Guild. Could meet on Bristol road or somewhere - will get in touch over weekend. Our plans take flight! Have a good week,,,
324,valid,No problem. How are you doing?,,,
325,valid,No calls..messages..missed calls,,,
326,valid,Hi da:)how is the todays class?,,,
327,valid,"I'd say that's a good sign but, well, you know my track record at reading women",,,
